id,latitude,longitude,day_of_year,day_of_week,hour,month,pollution_value
284,25.51,81.814,304,0,5,10,111.1
285,15.748,104.126,188,5,11,7,15.4
286,36.642,136.63,267,0,10,9,9.5
287,32.986,106.966,221,0,14,8,13.5
288,39.218,-84.445,145,2,19,5,10.5
289,24.117,82.649,289,6,19,10,78.5
290,35.633,139.755,267,0,10,9,9.5
291,30.489,106.586,221,0,14,8,14.5
292,17.406,78.488,304,0,5,10,23.17
293,41.538,31.844,146,4,10,5,12.939
294,35.299,-120.613,144,1,19,5,19.5
295,32.805,129.994,267,0,10,9,9.5
296,19.451,-99.211,112,5,2,4,14.5
297,-34.619,-58.361,155,0,15,6,17.5
298,32.759,129.973,267,0,10,9,7.5
299,31.054,112.179,221,0,14,8,7.5
300,39.983,119.559,221,0,14,8,30.5
301,4.644,-74.043,91,4,8,4,41.5
302,41.575,-71.741,151,2,2,5,6.5
303,29.382,117.324,366,3,19,12,25.5
304,31.033,112.2,221,0,14,8,14.5
305,27.758,-82.418,151,2,2,5,31.4
306,35.895,139.862,267,0,9,9,5.5
307,26.172,91.756,358,1,10,12,85.5
308,35.361,-120.498,32,5,10,2,12.5
309,25.139,104.854,221,0,14,8,8.5
310,47.162,-120.974,242,5,22,8,3.5
311,-26.414,28.95,89,3,19,3,3.5
312,35.32,-119.053,151,2,2,5,10.0
313,47.873,-104.645,151,2,2,5,8.5
314,41.577,120.368,221,0,14,8,21.5
315,36.233,-96.011,148,6,15,5,18.1
316,22.976,113.328,221,0,14,8,18.5
317,35.394,139.418,267,0,10,9,7.5
318,23.667,116.664,221,0,14,8,23.5
319,-1.255,36.771,68,4,14,3,15.7
320,34.498,-86.986,151,2,2,5,12.3
321,38.74,-89.931,246,4,22,9,154.3
322,47.757,-120.636,314,5,2,11,3.5
323,-33.923,150.953,327,2,2,11,4.8
324,35.715,139.995,267,0,10,9,5.5
325,22.689,108.358,221,0,14,8,19.5
326,31.796,-106.551,315,3,10,11,12.3
327,46.552,0.369,64,0,10,3,13.8
328,28.72,77.179,132,5,9,5,130.5
329,36.824,120.015,221,0,14,8,32.5
330,41.315,31.455,301,4,13,10,12.383
331,30.305,-81.476,151,2,2,5,11.0
332,-29.72,30.557,131,2,12,5,74.651
333,42.275,118.909,221,0,14,8,13.5
334,39.734,106.794,221,0,14,8,7.5
335,37.915,114.303,221,0,14,8,66.5
336,50.489,2.92,365,0,12,12,10.9
337,24.412,102.578,221,0,14,8,9.5
338,38.94,-119.938,144,1,4,5,5.0
339,51.13,16.578,1,5,1,1,12.46902
340,37.754,126.8,193,3,17,7,13.5
341,35.443,137.417,267,0,10,9,8.5
342,25.338,119.055,221,0,14,8,17.5
343,26.574,106.686,221,0,14,8,15.5
344,25.85,98.837,221,0,14,8,9.5
345,31.84,117.337,221,0,14,8,32.5
346,62.85,27.638,344,0,2,12,9.9
347,34.466,135.791,22,0,4,1,7.5
348,25.684,94.129,289,6,19,10,16.5
349,39.139,-75.471,145,2,21,5,7.2
350,31.749,-106.656,151,2,2,5,9.5
351,37.276,141.02,267,0,10,9,7.5
352,35.995,140.204,267,0,10,9,10.5
353,39.605,2.667,29,0,23,1,3.5
354,37.471,-122.201,151,2,2,5,5.5
355,40.474,-3.454,29,0,23,1,17.5
356,25.501,103.799,221,0,14,8,15.5
357,24.281,120.726,137,0,8,5,28.5
358,38.188,37.228,151,2,3,5,7.932
359,42.713,2.871,64,0,10,3,5.9
360,35.993,-83.928,151,2,2,5,9.7
361,18.569,99.058,188,5,11,7,15.8
362,36.8,34.652,151,2,3,5,22.057
363,26.39,111.574,221,0,14,8,23.5
364,36.196,136.126,267,0,10,9,7.5
365,42.237,123.867,221,0,14,8,15.5
366,26.676,84.94,289,6,18,10,69.5
367,35.441,139.425,267,0,10,9,5.5
368,35.138,136.861,267,0,10,9,10.5
369,28.641,115.859,221,0,14,8,33.5
370,25.036,121.476,137,0,8,5,22.5
371,26.644,118.092,221,0,14,8,22.5
372,48.505,129.45,366,3,18,12,10.5
373,39.812,116.199,221,0,14,8,20.5
374,43.117,-89.371,151,2,2,5,10.8
375,49.743,6.726,29,0,22,1,44.59009933
376,34.647,112.403,366,3,19,12,36.5
377,35.683,140.611,267,0,10,9,8.5
378,44.497,-109.045,281,1,17,10,4.5
379,53.009,-122.478,307,2,20,11,7.4
380,44.092,-123.004,151,2,2,5,6.4
381,35.752,139.858,267,0,10,9,7.5
382,34.689,137.775,267,0,10,9,9.5
383,29.853,-95.308,150,1,10,5,11.5
384,28.685,121.303,221,0,14,8,31.5
385,30.278,120.141,221,0,14,8,38.5
386,6.235,-75.606,249,3,16,9,36.5517
387,41.947,-91.718,151,2,2,5,12.0
388,40.038,-6.125,1,0,3,1,10.6
389,33.434,-86.78,2,2,18,1,19.0
390,59.458,17.938,214,3,10,8,5.66222
391,39.032,117.413,221,0,14,8,23.5
392,39.409,29.98,151,2,3,5,18.904
393,42.485,-73.271,151,3,16,5,46.5
394,18.656,73.87,188,3,7,7,20.98
395,25.482,81.791,304,0,5,10,138.54
396,48.381,-115.588,150,1,23,5,8.2
397,40.366,49.812,151,2,2,5,20.5
398,42.797,-96.866,101,1,23,4,14.4
399,52.349,17.022,61,1,11,3,44.1777
400,48.167,15.626,64,0,13,3,8.89999961
401,38.506,-122.492,234,2,18,8,17.5
402,28.809,78.669,304,0,5,10,51.5
403,22.826,115.36,221,0,14,8,20.5
404,48.543,-122.642,151,2,2,5,5.5
405,42.868,-78.773,151,2,2,5,16.3
406,51.573,-0.336,118,4,14,4,14.5
407,40.584,-112.36,151,2,2,5,7.8
408,44.521,11.342,127,2,2,5,7.5
409,26.936,112.471,221,0,14,8,15.5
410,-27.894,153.326,293,4,18,10,7.7
411,35.812,139.692,267,0,10,9,9.5
412,37.351,-118.381,191,3,1,7,63.5
413,14.102,100.653,175,6,4,6,10.471726179122925
414,39.354,-123.358,151,2,2,5,8.5
415,18.918,72.814,304,0,4,10,75.66
416,35.819,140.284,267,0,10,9,5.5
417,63.473,10.374,283,4,14,10,7.341715000000001
418,12.959,77.636,53,3,6,2,49.12
419,50.637,-3.684,300,5,23,10,9.5
420,37.568,118.577,221,0,14,8,64.5
421,36.83,-119.751,151,2,2,5,11.4
422,36.164,139.967,267,0,10,9,6.5
423,44.983,-67.086,145,2,18,5,7.5
424,28.472,119.922,221,0,14,8,17.5
425,34.108,-118.281,158,2,23,6,24.5
426,40.45,-3.515,29,0,23,1,20.5
427,37.903,-122.001,151,2,2,5,7.5
428,41.171,-80.44,149,0,13,5,14.9
429,24.39,98.62,221,0,14,8,27.5
430,44.754,-93.248,151,2,2,5,14.3
431,50.801,8.726,29,0,22,1,31.1855011
432,70.094,-143.632,146,4,17,5,6.9
433,21.767,108.352,366,3,19,12,32.5
434,25.441,-80.475,150,1,10,5,9.7
435,36.183,-118.828,139,4,0,5,20.7
436,38.135,140.866,267,0,10,9,9.5
437,34.701,135.828,261,1,5,9,13.5
438,37.469,137.235,267,0,9,9,4.5
439,42.278,-83.048,150,1,23,5,13.0
440,35.613,-88.847,86,2,18,3,9.5
441,44.972,10.0,127,2,2,5,17.5
442,33.717,-117.345,314,2,23,11,3.5
443,-22.886,-69.364,159,4,23,6,27.5
444,-31.085,150.906,277,1,21,10,8.3
445,42.897,-3.192,29,0,22,1,17.5
446,34.683,135.327,267,0,10,9,5.5
447,24.935,121.01,137,0,8,5,9.5
448,42.655,21.169,314,2,19,11,22.5
449,33.808,130.521,267,0,9,9,8.5
450,12.216,76.331,304,0,5,10,22.65
451,22.558,88.323,304,0,4,10,39.91
452,32.974,112.546,221,0,14,8,19.5
453,35.392,116.631,221,0,14,8,44.5
454,30.765,106.008,221,0,14,8,10.5
455,42.253,-123.192,177,5,2,6,6.4
456,-23.395,-46.719,93,0,17,4,27.5
457,29.457,105.602,221,0,14,8,11.5
458,40.705,-124.192,2,2,21,1,5.7
459,30.58,104.102,137,5,16,5,26.5
460,26.584,106.704,221,0,14,8,8.5
461,29.471,106.586,366,3,17,12,80.5
462,26.15,85.401,289,6,19,10,80.5
463,40.287,-4.295,29,0,23,1,18.5
464,13.669,102.528,188,5,11,7,7.5
465,34.55,136.69,267,0,10,9,6.5
466,28.201,116.986,221,0,14,8,10.5
467,47.898,-95.062,151,2,2,5,11.5
468,49.971,-97.397,316,6,15,11,9.3
469,38.803,-123.038,346,3,22,12,24.5
470,37.638,-118.983,292,2,21,10,4.5
471,40.013,-74.183,150,1,23,5,15.5
472,22.597,113.15,221,0,14,8,17.5
473,24.624,102.559,221,0,14,8,20.5
474,23.719,120.349,137,0,8,5,13.5
475,33.046,130.674,267,0,10,9,13.5
476,32.6,110.698,221,0,14,8,10.5
477,41.787,-71.405,177,2,15,6,6.5
478,42.904,-72.264,151,2,2,5,8.0
479,43.304,-2.879,29,0,22,1,15.5
480,39.346,117.863,221,0,14,8,25.5
481,35.84,120.055,221,0,14,8,45.5
482,-33.717,151.125,327,2,2,11,9.3
483,26.337,127.795,262,2,5,9,10.5
484,37.914,139.077,267,0,10,9,5.5
485,-26.021,29.305,116,2,0,4,3.5
486,52.073,16.674,354,3,23,12,22.2
487,34.818,-118.866,151,2,2,5,10.5
488,35.188,113.283,221,0,14,8,19.5
489,6.228,-75.596,249,3,16,9,16.5505
490,43.496,5.425,29,0,20,1,14.8
491,31.325,120.674,221,0,14,8,31.5
492,29.354,-98.292,52,2,23,2,4.8
493,29.994,103.0,221,0,14,8,16.5
494,-23.224,-46.854,95,2,23,4,29.5
495,45.591,-121.185,297,2,20,10,10.9
496,32.633,110.794,221,0,14,8,13.5
497,28.652,115.958,8,2,3,1,46.5
498,35.8,139.412,246,0,6,9,9.5
499,42.972,144.401,267,0,10,9,7.5
500,44.621,20.882,214,3,10,8,20.31283
501,60.315,15.982,214,3,10,8,5.798
502,40.686,120.901,221,0,14,8,36.5
503,35.524,139.58,267,0,10,9,5.5
504,30.731,108.463,221,0,14,8,8.5
505,35.317,139.631,267,0,10,9,6.5
506,41.631,26.627,151,2,3,5,20.959
507,36.785,34.675,151,2,3,5,20.324
508,13.05,80.249,304,0,4,10,35.5
509,34.631,134.041,267,0,10,9,5.5
510,13.042,77.539,304,0,5,10,70.5
511,24.065,-104.727,341,4,22,12,1352.8
512,34.778,135.389,267,0,10,9,7.5
513,46.868,-114.066,151,2,2,5,3.5
514,34.405,-118.799,165,1,8,6,12.5
515,32.748,130.762,267,0,9,9,7.5
516,44.627,11.594,127,2,2,5,12.5
517,18.183,98.643,153,5,3,6,18.6
518,36.727,137.764,254,1,10,9,14.5
519,47.988,-89.672,151,2,2,5,9.5
520,35.718,140.831,267,0,10,9,6.5
521,40.314,-79.9,151,2,2,5,12.5
522,51.216,10.415,29,0,22,1,39.46561432
523,36.178,-121.077,151,2,2,5,8.5
524,38.204,140.857,267,0,10,9,6.5
525,14.701,77.559,304,0,4,10,89.61
526,37.229,122.068,185,6,7,7,9.5
527,48.952,-115.163,209,6,3,7,32.5
528,23.748,109.16,221,0,14,8,23.5
529,41.015,29.017,301,4,12,10,12.365
530,40.941,38.352,151,2,3,5,11.344000000000001
531,35.868,139.833,267,0,10,9,9.5
532,-25.527,27.128,146,4,16,5,22.5
533,25.041,121.477,137,0,7,5,17.5
534,38.506,-122.492,234,2,9,8,19.5
535,30.571,114.329,221,0,14,8,69.5
536,35.279,139.204,267,0,10,9,9.5
537,21.188,79.072,304,0,3,10,92.2
538,41.573,-87.535,151,2,2,5,14.8
539,30.19,104.621,221,0,14,8,9.5
540,20.019,110.335,221,0,14,8,11.5
541,38.996,121.609,221,0,14,8,32.5
542,28.761,104.603,221,0,14,8,13.5
543,41.584,120.402,221,0,14,8,29.5
544,23.796,91.235,304,0,5,10,66.4
545,19.083,72.901,304,0,4,10,47.5
546,35.631,139.497,267,0,10,9,9.5
547,33.605,118.963,347,3,13,12,99.5
548,48.202,16.315,64,0,13,3,12.68939971
549,48.939,-122.143,151,2,2,5,7.1
550,25.234,110.29,221,0,14,8,23.5
551,39.143,-119.755,151,2,2,5,4.5
552,52.615,12.919,1,0,0,1,18.5
553,7.996,98.342,269,1,4,9,4.4541666607062025
554,34.446,133.378,267,0,10,9,8.5
555,12.532,99.989,188,5,11,7,17.1
556,48.761,1.41,29,0,20,1,11.6
557,36.096,-112.136,349,3,7,12,11.5
558,36.48,-121.476,274,2,1,9,5.5
559,33.575,130.368,259,6,0,9,8.5
560,47.271,-117.368,151,2,2,5,8.2
561,41.12,121.222,221,0,14,8,55.5
562,51.75,14.335,29,0,22,1,15.5
563,23.673,116.58,221,0,14,8,20.5
564,41.583,-87.349,150,1,10,5,14.7
565,34.563,136.527,267,0,10,9,6.5
566,34.677,135.433,267,0,10,9,4.5
567,45.007,-93.246,4,2,15,1,12.5
568,6.447,-75.339,249,3,16,9,19.5606
569,28.523,77.448,304,0,5,10,155.5
570,34.811,-89.942,262,2,17,9,15.4
571,-34.05,18.845,151,2,2,5,13.5
572,43.458,-112.002,151,2,2,5,14.5
573,29.285,-94.904,147,5,21,5,24.5
574,41.623,-87.154,150,1,10,5,17.0
575,33.812,-78.976,151,2,2,5,9.3
576,36.474,136.527,264,4,3,9,13.5
577,40.366,49.812,143,1,2,5,22.5
578,35.299,-120.613,145,2,4,5,28.5
579,36.339,-119.339,109,4,16,4,18.5
580,29.644,-95.29,88,0,9,3,7.4
581,32.839,-80.001,142,6,6,5,13.1
582,37.109,114.474,221,0,14,8,39.5
583,29.305,120.132,221,0,14,8,52.5
584,-32.774,-70.96,179,2,19,6,3.5
585,38.94,-119.938,139,3,1,5,17.5
586,40.627,-111.862,151,2,2,5,9.0
587,49.633,8.353,64,0,12,3,23.12884903
588,33.65,116.986,338,1,11,12,49.5
589,37.541,126.782,193,3,17,7,18.5
590,35.912,139.936,267,0,10,9,6.5
591,38.536,-121.55,53,5,3,2,20.1
592,37.761,-119.067,259,6,8,9,6.5
593,41.651,-87.386,151,2,2,5,13.6
594,29.541,103.755,366,3,19,12,70.5
595,38.72,140.29,267,0,10,9,7.5
596,38.306,-122.31,134,0,21,5,10.5
597,38.569,105.937,221,0,14,8,11.5
598,25.239,86.98,304,0,4,10,96.5
599,32.122,112.117,221,0,14,8,16.5
600,31.761,-106.432,252,6,22,9,15.5
601,41.803,-124.178,226,5,11,8,12.5
602,-26.467,29.937,136,1,12,5,30.741
603,33.999,131.012,267,0,10,9,12.5
604,13.834,100.568,188,5,11,7,14.7
605,39.684,106.826,221,0,14,8,13.5
606,13.681,100.503,176,0,16,6,14.3
607,35.957,-77.601,224,0,18,8,14.5
608,38.372,27.102,151,2,3,5,22.6
609,26.232,107.508,221,0,14,8,10.5
610,39.386,-121.158,256,5,21,9,342.5
611,36.824,-119.725,151,2,2,5,9.5
612,13.758,100.642,188,5,11,7,13.0
613,38.626,-28.681,335,5,3,11,7.2
614,38.939,100.454,366,3,18,12,43.5
615,-33.351,-70.758,118,2,23,4,37.53
616,51.409,0.084,185,1,19,7,7.5
617,23.898,106.604,221,0,14,8,28.5
